description,title,brand,catgory_name,age_category,player_count,part_Number,GTIN
"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Awesome Cotton Salad,Fahey accusantium perspiciatis laboriosam LLC,Refined Games,3 to 6 years,2 players,GVDUPNQ1,507842062
"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Generic Plastic Table,Mosciski est tenetur quis and Sons,Practical Outdoors,fun for all ages,2 to 4 players,JZUOITA1609,221551875
"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart",Small Metal Salad,Schuster perspiciatis corporis sequi Inc,Handcrafted Beauty,3 to 6 years,4 to 6 players,QNPUAQI1,823175141
"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Rustic Granite Towels,Kunde consequatur iste error Group,Refined Automotive,good for all ages,2 to 4 players,FGZOKRS1,139823873
"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality",Gorgeous Rubber Gloves,Quigley placeat excepturi ex Inc,Intelligent Automotive,3 to 6 years,4 to 6 players,OULAPGR1677,783213907
"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Licensed Frozen Salad,Wolff rem et sunt Group,Unbranded Automotive,12 years and above,3 to 9 players,UZSIPSP1705,238665479
"The Football Is Good For Training And Recreational Purposes",Fantastic Rubber Chair,Grady voluptatem tempore harum and Sons,Intelligent Baby,3 to 6 years,4 players,CDFOMSW1,209262209
"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart",Tasty Metal Car,Cummerata et rerum aut LLC,Generic Baby,fun for all ages,1 player,WHNUAWJ1,159939268
"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Rustic Plastic Pants,Willms nisi animi repudiandae Group,Sleek Games,3 to 6 years,2 players,TSDUBTI1WOC,217227906
"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Licensed Cotton Computer,Rogahn sunt sit laborum Inc,Handcrafted Computers,3 to 6 years,2 teams of 3,UTUECKQ1935,652013160
